video_id,schema,prompt_version,lab_json_exists,lab_json_matches,v10_cache_exists,graphml_exists,graphml_size_bytes,graphml_parses,graphml_nodes,graphml_edges,unknown_services_count,unknown_services_list,verdict
UsngU-HjH_Q,A,,0,0,0,1,5640,1,12,10,0,,v9_probable
V6rYfjJG3BE,B,v9,0,0,0,1,3668,1,8,5,0,,v9_confirmado
vb-o1DvvHxk,A,,0,0,0,1,6694,1,11,14,0,,v9_probable
VJZsgsY_sXY,B,v9,0,0,0,1,6150,1,13,13,0,,v9_confirmado
vp8oPiHN4cA,A,,0,0,0,1,5666,1,9,12,0,,v9_probable
vQgUkn3rAMY,A,,0,0,0,1,5864,1,9,11,0,,v9_probable
vr00Jg_G6qs,A,,0,0,0,1,6409,1,14,12,0,,v9_probable
VuoMhsYON1E,B,v9,0,0,0,1,5850,1,15,10,0,,v9_confirmado
w-qGSyzDL6g,A,,0,0,0,1,5463,1,11,10,0,,v9_probable
W4QzOaKCX2Y,B,v9,0,0,0,1,5184,1,11,9,0,,v9_confirmado
W96L6ICcF3s,A,,0,0,0,1,3185,1,7,3,0,,v9_probable
wbh51O3QrE4,A,,0,0,0,1,5664,1,10,11,0,,v9_probable
wE3TmHxyRdA,A,,0,0,0,1,4933,1,8,9,0,,v9_probable
wjtSHyENv0I,A,,0,0,0,1,4526,1,8,7,0,,v9_probable
WojdRyYDvDM,B,v9,0,0,0,1,4033,1,9,5,0,,v9_confirmado
WS2Qgx0qgCM,A,,0,0,0,1,4398,1,6,7,0,,v9_probable
WtCfHP6rUAY,A,,0,0,0,1,5386,1,10,10,0,,v9_probable
wtl7CrSQnHA,B,v9,0,0,0,1,5014,1,12,8,0,,v9_confirmado
Wur1GWB03hk,A,,0,0,0,1,4136,1,9,4,0,,v9_probable
ww5fiygF6eg,A,,0,0,0,1,4428,1,7,7,0,,v9_probable
WxMBuBBIwpI,A,,0,0,0,1,3591,1,6,5,0,,v9_probable
WYK-smWKywA,A,,0,0,0,1,5822,1,12,11,0,,v9_probable
X3mC6Yfd138,A,,0,0,0,1,4240,1,10,5,0,,v9_probable
x76BIV88j_M,A,,0,0,0,1,4641,1,7,8,0,,v9_probable
XCnul-AjrNU,B,v9,0,0,0,1,5125,1,8,12,0,,v9_confirmado
XG6mHvi4eNU,A,,0,0,0,1,4054,1,7,6,0,,v9_probable
XGVWdSnml6A,A,,0,0,0,1,4483,1,8,7,0,,v9_probable
Xi6tDqctLsY,A,,0,0,0,1,4770,1,8,10,0,,v9_probable
XmIhHtPJWog,A,,0,0,0,1,5570,1,10,10,0,,v9_probable
XpFNznmRoQ0,A,,0,0,0,1,7126,1,14,14,0,,v9_probable
XqsgQxyZ2Tw,A,,0,0,0,1,5558,1,10,11,0,,v9_probable
