Flujo (Origen -> Destino),Frecuencia
SNS -> Lex,1
Comprehend -> Lex,1
ThirdParty -> Lex,1
OpenSearch -> Lex,1
UserConsumerMobile -> Lex,1
S3 -> EventBridge,1
EventBridge -> S3,1
IoTCore -> ThirdParty,1
UserConsumerAlexaGoogleHome -> Lex,1
DynamoDB -> Lex,1
Lex -> DynamoDB,1
Lex -> UserConsumerAlexaGoogleHome,1
Lex -> ThirdParty,1
Lex -> OpenSearch,1
Lex -> Comprehend,1
UserCompanyAnalyst -> RedShift,1
EC2 -> Glue,1
EC2 -> UserCompanyDataStream,1
Glue -> EC2,1
RDS -> RedShift,1
RedShift -> RDS,1
RedShift -> UserCompanyAnalyst,1
ALB -> UserCompanyDeveloper,1
CodePipeline -> SNS,1
CodePipeline -> Lambda,1
CodeBuild -> CodePipeline,1
Lambda -> CodePipeline,1
ELB -> ApiGateway,1
EKS -> MSK,1
MSK -> EKS,1
OpenSearch -> Aurora,1
DevTools -> Lambda,1
UserCompanyDeveloper -> DevTools,1
UserConsumerAPI -> NLB,1
Lambda -> NLB,1
StepFunctions -> Rekognition,1
StepFunctions -> Transcribe,1
MediaConvert -> StepFunctions,1
Rekognition -> DynamoDB,1
Connect -> DevTools,1
Lex -> Connect,1
Lex -> DevTools,1
Lambda -> DevTools,1
DynamoDB -> DevTools,1
DevTools -> Connect,1
DevTools -> Lex,1
DevTools -> DynamoDB,1
Lambda -> UserCompanyAPI,1
SageMaker -> RoboMaker,1
SageMaker -> CloudWatch,1
RoboMaker -> SageMaker,1
RoboMaker -> Kinesis,1
RoboMaker -> CloudWatch,1
UserConsumerWeb -> SageMaker,1
Connect -> Lex,1
SNS -> S3,1
S3 -> UserCompanyDataStream,1
RedShift -> EMR,1
RedShift -> Aurora,1
ThirdParty -> Aurora,1
ThirdParty -> Connect,1
Aurora -> RedShift,1
Aurora -> ThirdParty,1
KMS -> IAM,1
Lambda -> IAM,1
S3 -> LakeFormation,1
LakeFormation -> Glue,1
LakeFormation -> SageMaker,1
Glue -> LakeFormation,1
Athena -> UserCompanyAgent,1
Athena -> UserConsumerMobile,1
EBS -> IAM,1
EBS -> EventBridge,1
EBS -> SQS,1
EBS -> KMS,1
EBS -> S3,1
IAM -> IAM,1
IAM -> EBS,1
EventBridge -> EBS,1
SQS -> ThirdParty,1
CloudTrail -> ThirdParty,1
GuardDuty -> ThirdParty,1
EC2 -> WAF,1
EC2 -> UserCompanyAnalyst,1
UserCompanyAnalyst -> EC2,1
NLB -> UserConsumerAPI,1
NLB -> Lambda,1
Transcribe -> DynamoDB,1
Comprehend -> DynamoDB,1
DynamoDB -> Transcribe,1
Lambda -> UserCompanyInternalPlatform,1
OnPremDC -> ThirdParty,1
Athena -> ThirdParty,1
WAF -> EC2,1
SNS -> ThirdParty,1
Route53 -> UserConsumerWeb,1
ApiGateway -> Fargate,1
CloudFront -> UserCompanyAnalyst,1
CodePipeline -> EventBridge,1
SystemsManager -> EventBridge,1
Lambda -> Timestream,1
Timestream -> Grafana,1
EKS -> ApiGateway,1
TransitGateway -> S3,1
UserCompanyDeveloper -> ControlTower,1
Route53 -> NLB,1
NLB -> EC2,1
Fargate -> ThirdParty,1
OpenSearch -> ThirdParty,1
StepFunctions -> SNS,1
Glue -> Athena,1
UserConsumerWeb -> EKS,1
UserConsumerWeb -> AppSync,1
StepFunctions -> AppSync,1
AppSync -> UserConsumerWeb,1
AppSync -> StepFunctions,1
RDS -> ControlTower,1
ECR -> ControlTower,1
EKS -> TransitGateway,1
UserConsumerTV -> WAF,1
UserConsumerWeb -> WAF,1
UserCompanyDeveloper -> VPN,1
CloudWatch -> Firehose,1
SQS -> Glue,1
Macie -> S3,1
S3 -> Macie,1
QuickSight -> S3,1
ECR -> CloudFormation,1
VPC -> CloudFormation,1
Route53 -> WAF,1
WAF -> CloudFront,1
EKS -> OpenSearch,1
OpenSearch -> EKS,1
EFS -> EC2,1
UserConsumerWeb -> AppStream,1
ControlTower -> S3,1
S3 -> ControlTower,1
UserCompanyDeveloper -> CodeCommit,1
CodeCommit -> UserCompanyDeveloper,1
CodeCommit -> CodeBuild,1
CodeBuild -> CodeCommit,1
CloudFormation -> ECR,1
CloudFormation -> VPC,1
AppSync -> ThirdParty,1
ThirdParty -> AppSync,1
ThirdParty -> UserConsumerAPI,1
UserCompanyDeveloper -> S3,1
Lambda -> ECR,1
ECR -> Lambda,1
ControlTower -> ECR,1
ControlTower -> RDS,1
S3 -> SES,1
IAM -> CloudTrail,1
IAM -> CloudFormation,1
CloudTrail -> EventBridge,1
CloudTrail -> IAM,1
EventBridge -> CloudTrail,1
CloudFormation -> ThirdParty,1
ThirdParty -> CloudFormation,1
