video_id,title,category,gen_nodes,gt_nodes,svc_precision,svc_recall,svc_f1,gen_edges,gt_edges,edge_precision,edge_recall,edge_f1,is_zero_edge_gt
IV3KuMGVNXI,Video IV3KuMGVNXI,Uncategorized,7,7,1.0,1.0,1.0,5,17,0.8,0.23529411764705882,0.3636363636363636,False
iWK0iRUi-b4,Video iWK0iRUi-b4,Uncategorized,8,8,1.0,0.875,0.9333333333333333,12,12,0.5833333333333334,0.5833333333333334,0.5833333333333334,False
iwZLadQ3XpY,Video iwZLadQ3XpY,Uncategorized,6,7,0.8333333333333334,0.7142857142857143,0.7692307692307692,5,7,0.6,0.42857142857142855,0.5,False
j-lPgPGBTwQ,Video j-lPgPGBTwQ,Uncategorized,11,11,0.8,0.8,0.8000000000000002,11,16,0.5454545454545454,0.375,0.4444444444444444,False
J4vHfpL66Zk,Video J4vHfpL66Zk,Uncategorized,9,10,1.0,0.9,0.9473684210526316,10,17,1.0,0.5882352941176471,0.7407407407407407,False
j9OZ-7aCAyA,Video j9OZ-7aCAyA,Uncategorized,8,9,1.0,0.8888888888888888,0.9411764705882353,8,15,0.875,0.4666666666666667,0.608695652173913,False
jBffL9zUCSE,Video jBffL9zUCSE,Uncategorized,7,7,1.0,1.0,1.0,5,11,1.0,0.45454545454545453,0.625,False
JcHSFIZMYHc,Video JcHSFIZMYHc,Uncategorized,8,8,1.0,1.0,1.0,7,9,1.0,0.7777777777777778,0.8750000000000001,False
JG5p-i8Cr2E,Video JG5p-i8Cr2E,Uncategorized,11,11,1.0,1.0,1.0,15,24,0.8,0.5,0.6153846153846154,False
jg85DzUZ9Ac,Video jg85DzUZ9Ac,Uncategorized,10,10,0.875,0.875,0.875,11,11,0.8181818181818182,0.8181818181818182,0.8181818181818182,False
JiWHomdh1oI,Video JiWHomdh1oI,Uncategorized,7,7,0.8,0.8,0.8000000000000002,10,11,0.8,0.7272727272727273,0.761904761904762,False
Jkx6kVbDpL4,Video Jkx6kVbDpL4,Uncategorized,13,13,0.8333333333333334,0.7142857142857143,0.7692307692307692,16,17,0.75,0.7058823529411765,0.7272727272727272,False
JRDGId6N49E,Video JRDGId6N49E,Uncategorized,7,6,0.8,0.8,0.8000000000000002,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,False
JSBB-BCvavQ,Video JSBB-BCvavQ,Uncategorized,10,5,0.625,1.0,0.7692307692307693,11,0,0.0,0.0,0.0,True
JVcKidzqpYY,Video JVcKidzqpYY,Uncategorized,9,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,10,13,0.8,0.6153846153846154,0.6956521739130435,False
JYeXbUdFOdw,Video JYeXbUdFOdw,Uncategorized,13,8,0.75,0.8571428571428571,0.7999999999999999,11,14,0.45454545454545453,0.35714285714285715,0.4,False
Jz2RPRhF6Fs,Video Jz2RPRhF6Fs,Uncategorized,10,10,1.0,1.0,1.0,9,13,1.0,0.6923076923076923,0.8181818181818181,False
jzKCg9Z5_8Q,Video jzKCg9Z5_8Q,Uncategorized,7,6,1.0,1.0,1.0,2,0,0.0,0.0,0.0,True
K27WjYwyqw8,Video K27WjYwyqw8,Uncategorized,7,8,1.0,0.8571428571428571,0.923076923076923,8,11,0.875,0.6363636363636364,0.7368421052631579,False
K5ww_O4vsxo,Video K5ww_O4vsxo,Uncategorized,11,15,0.6,0.75,0.6666666666666665,11,52,0.8181818181818182,0.17307692307692307,0.28571428571428575,False
Kebb0LOVC28,Video Kebb0LOVC28,Uncategorized,6,9,1.0,0.625,0.7692307692307693,6,21,0.8333333333333334,0.23809523809523808,0.37037037037037035,False
KgRib8AM0fs,Video KgRib8AM0fs,Uncategorized,7,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,7,8,0.14285714285714285,0.125,0.13333333333333333,False
kHPGZOpbnok,Video kHPGZOpbnok,Uncategorized,8,8,0.875,0.875,0.875,9,12,0.5555555555555556,0.4166666666666667,0.4761904761904762,False
KiH7hVJKzns,Video KiH7hVJKzns,Uncategorized,9,8,0.7777777777777778,0.875,0.823529411764706,10,14,0.7,0.5,0.5833333333333334,False
KM5ONS2fnG0,Video KM5ONS2fnG0,Uncategorized,10,10,0.7777777777777778,0.7777777777777778,0.7777777777777778,8,20,0.75,0.3,0.4285714285714285,False
Kp51k6LY-2c,Video Kp51k6LY-2c,Uncategorized,7,8,0.8571428571428571,0.75,0.7999999999999999,6,16,0.6666666666666666,0.25,0.36363636363636365,False
KQ6Fg206O9U,Video KQ6Fg206O9U,Uncategorized,10,10,0.9,0.9,0.9,11,14,0.8181818181818182,0.6428571428571429,0.7200000000000001,False
kszaIJEnKPk,Video kszaIJEnKPk,Uncategorized,11,11,0.7,0.7,0.7,8,13,0.625,0.38461538461538464,0.4761904761904762,False
ktonI7J3kLY,Video ktonI7J3kLY,Uncategorized,6,5,1.0,1.0,1.0,5,8,0.6,0.375,0.4615384615384615,False
KywvGM6HVXI,Video KywvGM6HVXI,Uncategorized,11,11,0.7777777777777778,0.7777777777777778,0.7777777777777778,11,22,0.7272727272727273,0.36363636363636365,0.4848484848484849,False
KzJKdUZ3Ba4,Video KzJKdUZ3Ba4,Uncategorized,7,4,0.5,0.6666666666666666,0.5714285714285715,4,6,0.25,0.16666666666666666,0.2,False
l0mvXogANE4,Video l0mvXogANE4,Uncategorized,9,8,1.0,1.0,1.0,11,14,1.0,0.7857142857142857,0.88,False
LD5ksgnu8r8,Video LD5ksgnu8r8,Uncategorized,11,11,0.7777777777777778,0.7,0.7368421052631577,9,13,0.6666666666666666,0.46153846153846156,0.5454545454545455,False
lHM96P5kP2k,Video lHM96P5kP2k,Uncategorized,11,11,0.8,1.0,0.888888888888889,13,14,0.6923076923076923,0.6428571428571429,0.6666666666666666,False
lkDq9g43djw,Video lkDq9g43djw,Uncategorized,7,5,1.0,1.0,1.0,4,4,0.5,0.5,0.5,False
LPZlrX2cNjo,Video LPZlrX2cNjo,Uncategorized,4,4,1.0,1.0,1.0,4,4,0.5,0.5,0.5,False
lTSZT10JMQA,Video lTSZT10JMQA,Uncategorized,10,10,0.8333333333333334,0.7142857142857143,0.7692307692307692,9,21,0.7777777777777778,0.3333333333333333,0.4666666666666666,False
